0,100,100,500,200,300,500,800,500,1300,500,200,500,300,500,500,400,100,300,300,100,400,300,100
100,0,100,200,100,400,200,400,200,600,200,100,300,100,100,400,200,0,100,100,0,100,0,0
100,100,0,200,100,300,100,200,100,300,300,200,100,100,100,200,100,0,0,0,0,100,100,0
500,200,200,0,500,400,400,700,700,1200,1400,600,600,500,500,800,500,100,200,300,200,400,500,200
200,100,100,500,0,200,200,500,800,1000,500,200,200,100,200,500,200,0,100,100,100,200,100,0
300,400,300,400,200,0,400,800,400,800,400,200,200,100,200,900,500,100,200,300,100,200,100,100
500,200,100,400,200,400,0,1000,600,1900,500,700,400,200,500,1400,1000,200,400,500,200,500,200,100
800,400,200,700,500,800,1000,0,800,1600,800,600,600,400,600,2200,1400,300,700,900,400,500,300,200
500,200,100,700,800,400,600,800,0,2800,1400,600,600,600,900,1400,900,200,400,600,300,700,500,200
1300,600,300,1200,1000,800,1900,1600,2800,0,4000,2000,1900,2100,4000,4400,3900,700,1800,2500,1200,2600,1800,800
500,200,300,1500,500,400,500,800,1400,3900,0,1400,1000,1600,1400,1400,1000,100,400,600,400,1100,1300,600
200,100,200,600,200,200,700,600,600,2000,1400,0,1300,700,700,700,600,200,300,400,300,700,700,500
500,300,100,600,200,200,400,600,600,1900,1000,1300,0,600,700,600,500,100,300,600,600,1300,800,800
300,100,100,500,100,100,200,400,600,2100,1600,700,600,0,1300,700,700,100,300,500,400,1200,1100,400
500,100,100,500,200,200,500,600,1000,4000,1400,700,700,1300,0,1200,1500,200,800,1100,800,2600,1000,400
500,400,200,800,500,900,1400,2200,1400,4400,1400,700,600,700,1200,0,2800,500,1300,1600,600,1200,500,300
400,200,100,500,200,500,1000,1400,900,3900,1000,600,500,700,1500,2800,0,600,1700,1700,600,1700,600,300
100,0,0,100,0,100,200,300,200,700,200,200,100,100,200,500,600,0,300,400,100,300,100,0
300,100,0,200,100,200,400,700,400,1800,400,300,300,300,800,1300,1700,300,0,1200,400,1200,300,100
300,100,0,300,100,300,500,900,600,2500,600,500,600,500,1100,1600,1700,400,1200,0,1200,2400,700,400
100,0,0,200,100,100,200,400,300,1200,400,300,600,400,800,600,600,100,400,1200,0,1800,700,500
400,100,100,400,200,200,500,500,700,2600,1100,700,1300,1200,2600,1200,1700,300,1200,2400,1800,0,2100,1100
300,0,100,500,100,100,200,300,500,1800,1300,700,800,1100,1000,500,600,100,300,700,700,2100,0,700
100,0,0,200,0,100,100,200,200,800,600,500,700,400,400,300,300,0,100,400,500,1100,700,0
